Title,Authors
A Study of the Importance of External Knowledge in the Named Entity Recognition Task,"Dominic Seyler, Tatiana Dembelova, Luciano Del Corro, Johannes Hoffart and Gerhard Weikum"
A Document Descriptor using Covariance of Word Vectors,Marwan Torki
Parser Training with Heterogeneous Treebanks,"Sara Stymne, Miryam de Lhoneux, Aaron Smith and Joakim Nivre"
Neural chart constraints for efficient PCFG and TAG parsing,"Stefan Grünewald, Sophie Henning and Alexander Koller"
A Rank-Based Similarity Metric for Word Embeddings,"Enrico Santus, Hongmin Wang, Emmanuele Chersoni and Yue Zhang"
Filtering and Mining Parallel Data in a Joint Multilingual Space,Holger Schwenk
Leveraging distributed representations and lexico-syntactic fixedness for token-level prediction of the idiomaticity of English verb-noun combinations,Milton King and Paul Cook
Neural Coreference Resolution with Deep Biaffine Attention by Joint Mention Detection and Mention Clustering,"Rui Zhang, Cicero Nogueira dos Santos, Michihiro Yasunaga, Bing Xiang and Dragomir Radev"
Ranking-Based Automatic Seed Selection and Noise Reduction for Weakly Supervised Relation Extraction,"Van-Thuy Phi, Joan Santoso, Masashi Shimbo and Yuji Matsumoto"
Sense-Aware Neural Models for Pun Location in Texts,"Yitao Cai, Yin Li and Xiaojun Wan"
Personalized Review Generation By Expanding Phrases and Attending on Aspect-Aware Representations,Jianmo Ni and Julian McAuley
A Simple and Effective Approach to Coverage-Aware Neural Machine Translation,"Yanyang Li, Tong Xiao, Yinqiao Li, Qiang Wang, Changming Xu and Jingbo Zhu"
Transfer Learning for Context-Aware Question Matching in Information-seeking Conversation Systems in E-commerce,"Minghui Qiu, Liu Yang, Feng Ji, Wei Zhou, Jun Huang, Haiqing Chen, Bruce Croft and Wei Lin"
Exploiting Document Knowledge for Aspect-level Sentiment Classification,"Ruidan He, Wee Sun Lee, Hwee Tou Ng and Daniel Dahlmeier"
Long Short-Term Memory as a Dynamically Computed Element-wise Weighted Sum,"Omer Levy, Kenton Lee, Nicholas FitzGerald and Luke Zettlemoyer"
Modeling Sentiment Association in Discourse for Humor Recognition,"Lizhen Liu, Donghai Zhang and Wei Song"
Dynamic Sentence Sampling for Efficient Training of Neural Machine Translation,"Rui Wang, Masao Utiyama and Eiichiro Sumita"
diaNED: Time-Aware Named Entity Disambiguation for Diachronic Corpora,"Prabal Agarwal, Jannik Strötgen, Johannes Hoffart, Luciano Del Corro and Gerhard Weikum"
Pretraining Sentiment Classifiers with Unlabeled Dialog Data,"Toru Shimizu, Nobuyuki Shimizu and Hayato Kobayashi"
Obligation and Prohibition Extraction Using Hierarchical RNNs,"Ilias Chalkidis, Ion Androutsopoulos and Achilleas Michos"
CNN for Text-Based Multiple Choice Question Answering,"Akshay Chaturvedi, Onkar Pandit and Utpal Garain"
"Investigating Audio, Video, and Text Fusion Methods for End-to-End Automatic Personality Prediction","Onno Kampman, Elham J. Barezi, Dario Bertero and Pascale Fung"
Addressing Noise in Multidialectal Word Embeddings,"Alexander Erdmann, Nasser Zalmout and Nizar Habash"
Global Encoding for Abstractive Summarization,"Junyang Lin, Xu SUN, Shuming Ma and Qi Su"
Hearst Patterns Revisited: Automatic Hypernym Detection from Large Text Corpora,"Stephen Roller, Douwe Kiela and Maximilian Nickel"
Disambiguating False-Alarm Hashtag Usages in Tweets for Irony Detection,"Hen-Hsen Huang, Chiao-Chen Chen and Hsin-Hsi Chen"
Compositional Representation of Morphologically-Rich Input for Neural Machine Translation,Duygu Ataman and Marcello Federico
Fully Statistical Neural Belief Tracking,Nikola Mrkšić and Ivan Vulić
Domain Adapted Word Embeddings for Improved Sentiment Classification,"Prathusha Kameswara Sarma, Yingyu Liang and Bill Sethares"
Restricted Recurrent Neural Tensor Networks: Exploiting Word Frequency and Compositionality,Alexandre Salle and Aline Villavicencio
Some of them can Be Guessed! Exploring the Effect of Linguistic Context in Predicting Quantifiers,"Sandro Pezzelle, Shane Steinert-Threlkeld, Raffaella Bernardi and Jakub Szymanik"
Extreme adaptation for personalized neural machine translation,Paul Michel and Graham Neubig
On the Practical Computational Power of Finite Precision RNNs for Language Recognition,"Gail Weiss, Yoav Goldberg and Eran Yahav"
Practical Target Syntax for Neural Machine Translation,"Danielle Saunders, Felix Stahlberg, Adrià de Gispert and Bill Byrne"
Improving Topic Quality by Promoting Named Entities in Topic Modeling,Katsiaryna Krasnashchok and Salim Jouili
Learning from Chunk-based Feedback in Neural Machine Translation,"Pavel Petrushkov, Shahram Khadivi and Evgeny Matusov"
Bleaching Text: Abstract Features for Cross-lingual Gender Prediction,"Rob van der Goot, Nikola Ljubešić, Ian Matroos, Malvina Nissim and Barbara Plank"
Fighting Offensive Language on Social Media with Unsupervised Text Style Transfer,"Cicero dos Santos, Igor Melnyk and Inkit Padhi"
Construction of a Chinese Corpus for the Analysis of the Emotionality of Metaphorical Expressions,"Dongyu Zhang, Hongfei Lin, Liang Yang, Shaowu Zhang and BO XU"
Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling,"Luheng He, Kenton Lee, Omer Levy and Luke Zettlemoyer"
Word Error Rate Estimation for Speech Recognition: e-WER,Ahmed Ali and Steve Renals
Deep RNNs Learn Hierarchical Syntax,"Terra Blevins, Omer Levy and Luke Zettlemoyer"
Extracting Common Sense Properties from Embeddings with Limited Human Guidance,"Yiben Yang, Larry Birnbaum, Ji-Ping Wang and Doug Downey"
Neural Cross-Lingual Coreference Resolution And Its Application To Entity Linking,"Gourab Kundu, Avi Sil, Radu Florian and Wael Hamza"
Orthographic Features for Bilingual Lexicon Induction,Parker Riley and Daniel Gildea
Diachronic degradation of language models: Insights from social media,"Kokil Jaidka, Niyati Chhaya and Lyle Ungar"
Learning Simplifications for Specific Target Audiences,Carolina Scarton and Lucia Specia
PhraseCTM: Correlated Topic Modeling on Phrases within Markov Random Fields,Weijing Huang
Modeling discourse cohesion for discourse parsing via memory network,"Yanyan Jia, Yuan Ye, Yansong Feng, Yuxuan Lai, Rui Yan and Dongyan Zhao"
Judicious Selection of Training Data in Assisting Language for Multilingual Neural NER,"Rudra Murthy, Anoop Kunchukuttan and Pushpak Bhattacharyya"
A Multi-task Approach to Learning Multilingual Representations,"Karan Singla, Dogan Can and Shrikanth Narayanan"
Know What You Don’t Know: Unanswerable Questions for SQuAD,"Robin Jia, Pranav Rajpurkar and Percy Liang"
Identifying and Understanding User Reactions to Deceptive and Trusted Social News Sources,"Maria Glenski, Tim Weninger and Svitlana Volkova"
Sparse and Constrained Attention for Neural Machine Translation,"Chaitanya Malaviya, Pedro Ferreira and André F. T. Martins"
Commonsense LocatedNear Relation Extraction,"Frank F. Xu, Yuchen Lin and Kenny Zhu"
Active learning for deep semantic parsing,"Long Duong, Hadi Afshar, Dominique Estival, Glen Pink, Philip Cohen and Mark Johnson"
Party Matters: Enhancing Legislative Embeddings with Author Attributes for Vote Prediction,"Anastassia Kornilova, Daniel Argyle and Vladimir Eidelman"
A Multi-sentiment-resource Enhanced Attention Network for Sentiment Classification,"Zeyang Lei, Yujiu Yang, Min Yang and Yi Liu"
Improving Slot Filling in Spoken Language Understanding with Joint Pointer and Attention,Lin Zhao and Zhe Feng
Dual Embeddings and CNN-based Sequence Labeling for Aspect Extraction,"Hu Xu, Bing Liu, Lei Shu and Philip S. Yu"
Personalized Language Model for Query Auto-Completion,Aaron Jaech and Mari Ostendorf
Scoring Lexical Entailment with a Supervised Directional Similarity Network,"Marek Rei, Daniela Gerz and Ivan Vulić"
Split and Rephrase: Better Evaluation and Stronger Baselines,Roee Aharoni and Yoav Goldberg
Bag-of-Words as Target for Neural Machine Translation,"Shuming Ma, Xu SUN, Yizhong Wang and Junyang Lin"
Improving Beam Search by Removing Monotonic Constraint for Neural Machine Translation,Raphael Shu and Hideki Nakayama
Large-scale Multi-Domain Belief Tracking with Knowledge Sharing,"Osman Ramadan, Paweł Budzianowski and Milica Gasic"
Unsupervised Semantic Frame Induction using Triclustering,"Dmitry Ustalov, Alexander Panchenko, Andrey Kutuzov, Chris Biemann and Simone Paolo Ponzetto"
Improved Evaluation Framework for Complex Plagiarism Detection,"Anton Belyy, Marina Dubova and Dmitry Nekrasov"
Policy Gradient as a Proxy for Dynamic Oracles in Constituency Parsing,Daniel Fried and Dan Klein
Characterizing Departures from Linearity in Word Translation,Ndapa Nakashole and Raphael Flauger
Automatic Estimation of Simultaneous Interpreter Performance,"Craig Stewart, Nikolai Vogler, Junjie Hu, Jordan Boyd-Graber and Graham Neubig"
Tackling the Biases in The Story Cloze Test,"Rishi Sharma, James Allen, Omid Bakhshandeh and Nasrin Mostafazadeh"
Task-oriented Dialogue System for Automatic Disease Identification,"Zhongyu Wei, Qianlong Liu, Baolin Peng, Huaixiao Tou, Ting Chen, Xuanjing Huang, Kam-Fai Wong and Xiangying Dai"
Identification of Alias Links among Participants in Narratives,"Sangameshwar Patil, Sachin Pawar, Swapnil Hingmire, Girish Palshikar, Vasudeva Varma and Pushpak Bhattacharyya"
Polyglot Semantic Role Labeling,"Phoebe Mulcaire, Swabha Swayamdipta and Noah A. Smith"
Automatic Academic Paper Rating Based on Modularized Hierarchical Convolution Neural Network,"Pengcheng Yang, Xu SUN, Wei Li and Shuming Ma"
Content-based Popularity Prediction of Online Petitions Using a Deep Regression Model,"Shivashankar Subramanian, Timothy Baldwin and Trevor Cohn"
Conditional Generators of Words Definitions,"Artyom Gadetsky, Ilya Yakubovskiy and Dmitry Vetrov"
Adaptive Knowledge Sharing in Multi-Task Learning: Improving Low-Resource Neural Machine Translation,"Poorya Zaremoodi, Wray Buntine and Gholamreza Haffari"
Towards Robust and Privacy-preserving Text Representations,"Yitong Li, Trevor Cohn and Timothy Baldwin"
HotFlip: White-Box Adversarial Examples for Text Classification,"Javid Ebrahimi, Anyi Rao, Daniel Lowd and Dejing Dou"
Enhancing Drug-Drug Interaction Extraction from Texts by Molecular Structure Information,"Masaki Asada, Makoto Miwa and Yutaka Sasaki"
Injecting Relational Structural Representation in Neural Networks for Question Similarity,"Antonio Uva, Daniele Bonadiman and Alessandro Moschitti"
Exploring Semantic Properties of Sentence Embeddings,"Xunjie Zhu, Tingfeng Li and Gerard de Melo"
Type-Sensitive Knowledge Base Inference Without Explicit Type Supervision,"Prachi Jain, Pankaj Kumar,  Mausam - and Soumen Chakrabarti"
Examining Temporality in Document Classification,Xiaolei Huang and Michael J. Paul
Linear-time Constituency Parsing with RNNs and Dynamic Programming,Juneki Hong and Liang Huang
An Empirical Study of Building a Strong Baseline for Constituency Parsing,"Jun Suzuki, Sho Takase, Hidetaka Kamigaito, Makoto Morishita and Masaaki Nagata"
GNEG: Graph-Based Negative Sampling for word2vec,Zheng Zhang and Pierre Zweigenbaum
SciDTB: Discourse Dependency TreeBank for Scientific Abstracts,An Yang and Sujian Li
Automatic Article Commenting: the Task and Dataset,"Lianhui Qin, Lemao Liu, Wei Bi, Yan Wang, Xiaojiang Liu, Zhiting Hu, Hai Zhao and Shuming Shi"
Autoencoder as Assistant Supervisor: Improving Text Representation for Chinese Social Media Text Summarization,"Shuming Ma, Xu SUN, Junyang Lin and Houfeng WANG"
Learning Style-sensitive Word Vectors from Stylistically Consistent Utterances,"Reina Akama, Kento Watanabe, Sho Yokoi, Sosuke Kobayashi and Kentaro Inui"
Do Neural Network Cross-Modal Mappings Really Bridge Modalities?,Guillem Collell and Marie-Francine Moens
A Co-Matching Model for Multi-choice Reading Comprehension,"Shuohang Wang, Mo Yu, Jing Jiang and Shiyu Chang"
A Walk-based Model on Entity Graphs for Relation Extraction,"Fenia Christopoulou, Makoto Miwa and Sophia Ananiadou"
Learning Thematic Similarity Metric from Article Sections Using Triplet Networks,"Liat Ein Dor, Yosi Mass, Alon Halfon, Elad Venezian, Ilya Shnayderman, Ranit Aharonov and Noam Slonim"
Simpler but More Accurate Semantic Dependency Parsing,Timothy Dozat and Christopher D. Manning
'Lighter' Can Still Be Dark: Modeling Comparative Color Descriptions,Olivia Winn and Smaranda Muresan
Learning Cross-lingual Distributed Logical Representations for Semantic Parsing,Yanyan Zou and Wei Lu
Learning with Structured Representations for Negation Scope Extraction,Hao Li and Wei Lu
Narrative Modeling with Memory Chains and Semantic Supervision,"Fei Liu, Trevor Cohn and Timothy Baldwin"
Named Entity Recognition With Parallel Recurrent Neural Networks,"Andrej Zukov Gregoric, Yoram Bachrach and Sam Coope"
Will it Blend? Weak and Manual Labeled Data in a Neural Network for Argumentation Mining,"Eyal Shnarch, Carlos Alzate, Lena Dankin, Martin Gleize, Yufang Hou, Leshem Choshen, Ranit Aharonov and Noam Slonim"
End-Task Oriented Textual Entailment via Deep Exploring Inter-Sentence Interactions,"Wenpeng Yin, Dan Roth and Hinrich Schütze"
A Simple Language Model based Evaluator for Sentence Compression,"Yang Zhao, Zhiyuan Luo and Akiko Aizawa"
